id,grupo,aduana,transportista,importador,origen,procedencia,fiscalizacion
1,electronicos,San Javier,1,4,py,br,ilicito
2,juguetes,San Javier,1,4,py,br,ilicito
3,juguetes,San Javier,1,4,py,cn,ilicito
4,juguetes,San Javier,1,4,py,cn,ilicito
5,juguetes,T5,4,2,cn,cn,ilicito
6,juguetes,T5,2,2,cn,cn,ok
7,juguetes,T5,2,2,cn,cn,ok
8,juguetes,T5,2,2,py,cn,ilicito
9,juguetes,Posadas,3,2,br,cn,ilicito
10,juguetes,T5,4,2,cn,cn,ilicito
11,electronicos,EZE,5,1,py,br,ilicito
12,juguetes,Posadas,3,2,br,br,ok
13,juguetes,Posadas,3,2,py,cn,ilicito
14,juguetes,Posadas,3,2,mx,cn,ilicito
15,juguetes,Posadas,4,2,br,br,ilicito
16,juguetes,T5,4,2,cn,cn,ilicito
17,electronicos,EZE,5,1,mx,mx,ilicito
18,electronicos,EZE,5,1,mx,mx,ilicito
19,electronicos,San Javier,1,4,cn,cn,ok
20,electronicos,EZE,5,1,mx,mx,ok
21,electronicos,EZE,5,1,mx,mx,ok
22,electronicos,EZE,5,1,mx,mx,ok
23,electronicos,EZE,5,1,py,mx,ok
24,electronicos,San Javier,1,4,br,cn,ilicito
25,electronicos,San Javier,1,4,br,br,ilicito
26,electronicos,San Javier,1,4,br,br,ilicito
27,electronicos,EZE,6,1,mx,mx,ok
28,electronicos,EZE,6,1,mx,mx,ok
29,electronicos,EZE,6,1,mx,mx,ok
30,electronicos,EZE,6,1,cn,cn,ilicito
31,electronicos,EZE,6,1,cn,cn,ilicito
32,autos,San Javier,3,4,mx,br,ok
33,autos,San Javier,3,4,mx,br,ok
34,autos,San Javier,3,4,mx,br,ok
35,autos,San Javier,3,4,mx,br,ok
36,autos,San Javier,3,4,mx,br,ok
37,autos,San Javier,3,4,mx,br,ok
38,juguetes,T5,2,2,cn,cn,ok
39,autos,San Javier,3,4,mx,br,ilicito
40,autos,San Javier,3,4,mx,br,ok
