"","PERIODO_OFICIALIZACION","SUBREGIMEN","REGION_ORIGEN","PAIS_ORIGEN_DESC","REGION_PROCEDENCIA","PAIS_PROCEDENCIA_DESC","MEDIO_TRANSPORTE_DESC","ADUANA_DESC","REGION_ADUANA","UNIDAD_DESC","CAPITULO","PARTIDA","CANTIDAD_UNIDAD","KILOS_NETOS","MONTO_FOB_DOLAR","CANAL"
"1",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8523",89201,1096.89,478780.1,"R"
"2",201703,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8517",18,196.51,68617.6,"N"
"3",201702,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8543",82354,1526.67,527666.97,"R"
"4",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8501",25,197.12,56710.52,"N"
"5",201701,"IC04","NA","MEXICO","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8517",649,7565.14,1617791.33,"N"
"6",201703,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8523",921,162.13,74209.86,"N"
"7",201703,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8517",288,1147.73,854567.87,"R"
"8",201701,"IC04","CN","CHINA","CN","CHINA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8504",263287,3478.12,113961,"R"
"9",201702,"IC04","CN","CHINA","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8504",13701,2379.1,240925.9,"R"
"10",201703,"IC04","XX","MALASIA","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","UNIDAD","85","8517",2122,8922.54,1535972.17,"R"
